pk_pathogen_id,fk_higher_taxa_id,fk_pathogen_id_accepted,fk_anamorph_id,virus_MPLO_names,pathogen_genus,pathogen_species,pathogen_subspecific_taxa,pathogen_author,fungal_state,english_name,english_disease_names,french_ name,french_disease_names,pathogen_notes,verify,qd,change_to,full_pathogen,dup_id
24411,311,83273,,,Ustilago,neglecta,,,unknown,,,,,,TRUE,,,Ustilagoneglecta,
24416,1,24435,,,Cylindrosporium,shepherdiae,,,unknown,,,,,,TRUE,,,Cylindrosporiumshepherdiae,
24419,1,93689,,,Fomes,ellisianus,,,unknown,,,,,,TRUE,,,Fomesellisianus,
24435,288,,,,Septoria,shepherdiae,,(Sacc.) Dearn.,unknown,,,,,,TRUE,,,Septoriashepherdiae(Sacc.) Dearn.,
24452,1,,,,Microthyrium,arcticum,,,unknown,,,,,,TRUE,,,Microthyriumarcticum,
24453,288,2946,,,Mycosphaerella,innumerella,,,unknown,,,,,,TRUE,,,Mycosphaerellainnumerella,
24457,288,,,,Ramularia,sidalceae,,,Anamorph,,,,,,TRUE,,,Ramulariasidalceae,
24484,288,,,,Septoria,silenes,,,unknown,,,,,,TRUE,,,Septoriasilenes,
24490,182,,,,Puccinia,silphii,,,unknown,,,,,,TRUE,,,Pucciniasilphii,
24505,1,93828,,,Brencklea,sisyrinchii,,,unknown,,,,,,TRUE,,,Brenckleasisyrinchii,
24511,288,,,,Septoria,sii,,,unknown,,,,,,TRUE,,,Septoriasii,
24517,1,,,,Cylindrosporium,smilacinae,,,unknown,,,,,,TRUE,,,Cylindrosporiumsmilacinae,
24519,1,,,,Cylindrosporium,smilacis,,,unknown,,,,,,TRUE,,,Cylindrosporiumsmilacis,
24526,288,,,,Ramularia,smilacinae,,,Anamorph,,,,,,TRUE,,,Ramulariasmilacinae,
24529,1,,,,Metasphaeria,dearnessii,,,unknown,,,,,,TRUE,,,Metasphaeriadearnessii,
24530,1,,,,Phyllosticta,hispida,,,unknown,,,,,,TRUE,,,Phyllostictahispida,
24537,288,,,,Ramularia,subrufa,,,Anamorph,,,,,,TRUE,,,Ramulariasubrufa,
24538,272,53983,,,Stagonospora,smilacis,,,Anamorph,,,,,,TRUE,,,Stagonosporasmilacis,
24565,305,44762,,,Ascochyta,lycopersici,,,unknown,,,,,,TRUE,,,Ascochytalycopersici,
24569,1,,,,Bacillus,polymyxa,,(Prazmowski) Macé,unknown,,,,,,TRUE,,,Bacilluspolymyxa(Prazmowski) Macé,
24570,1,,,,Botryosporium,longibrachiatum,,(Oudem.) Maire,unknown,,,,,,TRUE,,,Botryosporiumlongibrachiatum(Oudem.) Maire,
24582,1,31583,,,Cephalotrichum,stemonitis,,,unknown,,,,,,TRUE,,,Cephalotrichumstemonitis,
24591,1,66720,,,Corynebacterium,sepedonicum,,,unknown,,,,,,TRUE,,,Corynebacteriumsepedonicum,
24611,287,,,,Ditylenchus,destructor,,Thorne,unknown,,,,,,TRUE,,,DitylenchusdestructorThorne,
24655,210,81298,,,Fusarium,coeruleum,,,unknown,,,,,,TRUE,,,Fusariumcoeruleum,
24681,210,,,,Fusarium,oxysporum,f. tuberosi,Snyd. & Hansen,unknown,,,,,,TRUE,,,Fusariumoxysporumf. tuberosiSnyd. & Hansen,
24683,210,,,,Fusarium,solani,var. eumartii,(Carp.) Snyd. & Hansen,unknown,,,,,,TRUE,,,Fusariumsolanivar. eumartii(Carp.) Snyd. & Hansen,
24688,342,,,,Helminthosporium,solani,,Durieu & Mont.,Anamorph,,,,,,TRUE,,,HelminthosporiumsolaniDurieu & Mont.,
24695,285,,,,Globodera,rostochiensis,,(Wr.) Behrens,unknown,,,,,,TRUE,,,Globoderarostochiensis(Wr.) Behrens,
24696,1,24695,,,Heterodera,rostochiensis,,,unknown,,,,,,TRUE,,,Heteroderarostochiensis,
24699,285,,,,Meloidogyne,arenaria,,(Neal) Chitwood,unknown,,,,,,TRUE,,,Meloidogynearenaria(Neal) Chitwood,
24701,1,82440,,,Oospora,pustulans,,,unknown,,,,,,TRUE,,,Oosporapustulans,
24740,1,61400,,,Phomopsis,tuberivora,,Güssow & Foster,unknown,,,,,,TRUE,,,PhomopsistuberivoraGüssow & Foster,
24752,283,,,,Phytophthora,erythroseptica,,Pethybridge,unknown,,,,,,TRUE,,,PhytophthoraerythrosepticaPethybridge,
24759,283,,,,Phytophthora,cf. cryptogea,,,unknown,,,,,,TRUE,,,Phytophthoracf. cryptogea,
24832,331,,,,Synchytrium,endobioticum,,(Schilberszky) Percival,unknown,,,,,,TRUE,,,Synchytriumendobioticum(Schilberszky) Percival,
24877,181,,,Potato Virus A,,,,,unknown,,,,,,TRUE,,,,
24884,181,,,Potato Virus F,,,,,unknown,,,,,,TRUE,,,,
24888,181,,,Potato Virus M,,,,,unknown,,,,,,TRUE,,,,
24889,181,,,Potato Virus S,,,,,unknown,,,,,,TRUE,,,,
24900,181,,,Potato Spindle Tuber Viroid,,,,,unknown,,,,,,TRUE,,,,
24910,5,,,Potato Witchs' Broom Mycoplasma-like Organism,,,,,unknown,,,,,,TRUE,,,,
24921,181,,,Potato Yellow Dwarf Virus,,,,,unknown,,,,,,TRUE,,,,
24984,364,,,,Coleosporium,delicatulum,,,unknown,,,,,,TRUE,,,Coleosporiumdelicatulum,
24990,1,,,,Diaporthe,linearis,,(Fr.: Fr.) Nitschke,unknown,,,,,,TRUE,,,Diaporthelinearis(Fr.: Fr.) Nitschke,
24991,1,,,,Diaporthe,quadruplex,,Wehmeyer,unknown,,,,,,TRUE,,,DiaporthequadruplexWehmeyer,
25005,275,81744,,,Leptosphaeria,vagabunda,,,unknown,,,,,,TRUE,,,Leptosphaeriavagabunda,
25007,288,,,,Mycosphaerella,virgaureae,,Krieger,unknown,,,,,,TRUE,,,MycosphaerellavirgaureaeKrieger,
25009,300,,,,Pleospora,chlamydospora,,,unknown,,,,,,TRUE,,,Pleosporachlamydospora,
25039,182,,,,Puccinia,virgae-aureae,,(DC.) Lib.,unknown,,,,,,TRUE,,,Pucciniavirgae-aureae(DC.) Lib.,
25043,1,,,,Pyrenopeziza,artemisiae,var. solidaginis,Rehm,unknown,,,,,,TRUE,,,Pyrenopezizaartemisiaevar. solidaginisRehm,
25044,1,,,,Pyrenopeziza,artemisiae,,,unknown,,,,,,TRUE,,,Pyrenopezizaartemisiae,
25045,288,34936,,,Ramularia,virgaureae,,,Anamorph,,,,,,TRUE,,,Ramulariavirgaureae,
25047,1,,,,Rhabdospora,solidaginis,,,unknown,,,,,,TRUE,,,Rhabdosporasolidaginis,
25048,1,,,,Rhabdospora,subgrisea,,,unknown,,,,,,TRUE,,,Rhabdosporasubgrisea,
25049,288,,,,Septoria,solidaginicola,,,unknown,,,,,,TRUE,,,Septoriasolidaginicola,
25055,182,,,,Uromyces,sommerfeltii,,,unknown,,,,,,TRUE,,,Uromycessommerfeltii,
25060,207,,,,Marssonina,sonchi,,,Anamorph,,,,,,TRUE,,,Marssoninasonchi,
25068,288,,,,Septoria,sonchi-arvensis,,Dearn. & Bisby,unknown,,,,,,TRUE,,,Septoriasonchi-arvensisDearn. & Bisby,
25069,288,,,,Septoria,sonchifolia,,Cke.,unknown,,,,,,TRUE,,,SeptoriasonchifoliaCke.,
25070,1,,,,Sporocybe,tessulata,,,unknown,,,,,,TRUE,,,Sporocybetessulata,
25088,276,,,,Cucurbitaria,sorbi,,,unknown,,,,,,TRUE,,,Cucurbitariasorbi,
25095,315,,,,Cytospora,microspora,,,unknown,,,,,,TRUE,,,Cytosporamicrospora,
25099,1,,51,,Dermea,ariae,,(Pers.: Fr.) Tul. ex Karst.,Teleomorph,,,,,,TRUE,,,Dermeaariae(Pers.: Fr.) Tul. ex Karst.,
25101,1,,,,Diaporthe,impulsa,,(Cke. & Pk.) Sacc.,unknown,,,,,,TRUE,,,Diaportheimpulsa(Cke. & Pk.) Sacc.,
25103,1,,,,Dothiora,sorbi,,,unknown,,,,,,TRUE,,,Dothiorasorbi,
25115,1,,,,Eutypella,sorbi,,,unknown,,,,,,TRUE,,,Eutypellasorbi,
25155,182,11838,,,Gymnosporangium,juniperinum,,,unknown,,,,,,TRUE,,,Gymnosporangiumjuniperinum,
25171,1,,,,Melanostroma,sorbi,,,unknown,,,,,,TRUE,,,Melanostromasorbi,
25172,1,,51,,Micropera,sorbi,,,Anamorph,,,,,,TRUE,,,Microperasorbi,
25183,305,,,,Phoma,sorbi,,,unknown,,,,,,TRUE,,,Phomasorbi,
25188,1,,,,Radulum,tomentosum,,Fr.,unknown,,,,,,TRUE,,,RadulumtomentosumFr.,
25189,1,,,,Rhabdospora,inaequalis,,Sacc. & Roum.,unknown,,,,,,TRUE,,,RhabdosporainaequalisSacc. & Roum.,
25191,288,,,,Septoria,inaequalis,,,unknown,,,,,,TRUE,,,Septoriainaequalis,
25192,1,,,,Steganosporium,cellulosum,,,unknown,,,,,,TRUE,,,Steganosporiumcellulosum,
25196,1,671,,,Tympanis,sorbi,,,unknown,,,,,,TRUE,,,Tympanissorbi,
25198,315,,249,,Valsa,persoonii,,Nitschke,Teleomorph,,,,,,TRUE,,,ValsapersooniiNitschke,
25199,305,65791,,,Bipolaris,turcica,,,unknown,,,,,,TRUE,,,Bipolaristurcica,
25219,311,93856,,,Ustilago,sorghi,,,unknown,,,,,,TRUE,,,Ustilagosorghi,
25225,1,73730,,,Burrillia,anomala,,,unknown,,,,,,TRUE,,,Burrilliaanomala,
25261,320,,,,Peronospora,obovata,,Bonorden,unknown,,,,,,TRUE,,,PeronosporaobovataBonorden,
25267,182,,,,Puccinia,sherardiana,,Körn.,unknown,,,,,,TRUE,,,PucciniasherardianaKörn.,
25274,182,,,,Puccinia,eatoniae,,,unknown,,,,,,TRUE,,,Pucciniaeatoniae,
25278,305,7085,,,Ascochyta,chenopodii,,Roster,unknown,,,,,,TRUE,,,AscochytachenopodiiRoster,
25279,288,,,,Cercospora,bertrandii,,Chupp,unknown,,,,,,TRUE,,,CercosporabertrandiiChupp,
25280,324,69602,,,Colletotrichum,spinaciae,,,unknown,,,,,,TRUE,,,Colletotrichumspinaciae,
25301,1,,,,Melanospora,papillatum,,,unknown,,,,,,TRUE,,,Melanosporapapillatum,
25342,288,,,,Cercospora,rubigo,,,unknown,,,,,,TRUE,,,Cercosporarubigo,
25343,1,,,,Cryptodiaporthe,macounii,,,unknown,,,,,,TRUE,,,Cryptodiaporthemacounii,
25344,1,80974,,,Cylindrosporium,ariaefolium,,,unknown,,,,,,TRUE,,,Cylindrosporiumariaefolium,
25345,1,,,,Cylindrosporium,fairmanianum,,,unknown,,,,,,TRUE,,,Cylindrosporiumfairmanianum,
25346,1,,,,Cylindrosporium,filipendulae,,von Thümen,unknown,,,,,,TRUE,,,Cylindrosporiumfilipendulaevon Thümen,
25348,1,25346,,,Cylindrosporium,salicifoliae,,,unknown,,,,,,TRUE,,,Cylindrosporiumsalicifoliae,
25353,1,,,,Diaporthe,viburni,var. spiraeicola,Wehm.,unknown,,,,,,TRUE,,,Diaportheviburnivar. spiraeicolaWehm.,
25356,318,,,,Godronia,spiraeae,,(Rehm) Seaver,unknown,,,,,,TRUE,,,Godroniaspiraeae(Rehm) Seaver,
25360,290,,,,Heterosporium,spiraeae,,,unknown,,,,,,TRUE,,,Heterosporiumspiraeae,
25376,1,,,,Tracya,lemna,,,unknown,,,,,,TRUE,,,Tracyalemna,
25383,288,,,,Septoria,stachydis,,,unknown,,,,,,TRUE,,,Septoriastachydis,
25389,1,,,,Guignardia,stromatica,,,unknown,,,,,,TRUE,,,Guignardiastromatica,
25390,1,,,,Helotiella,erythrostigma,,,unknown,,,,,,TRUE,,,Helotiellaerythrostigma,
25420,288,,,,Mycosphaerella,cerastii,,,unknown,,,,,,TRUE,QD,,Mycosphaerellacerastii,
25450,288,,,,Ramularia,stellariae,,,Anamorph,,,,,,TRUE,,,Ramulariastellariae,
25451,288,,,,Septoria,stellariae,,Rob. & Desm.,unknown,,,,,,TRUE,,,SeptoriastellariaeRob. & Desm.,
25459,1,,,,Trochila,stellariae,,,unknown,,,,,,TRUE,,,Trochilastellariae,
25484,182,,,,Puccinia,substerilis,,Ell. & Ev.,unknown,,,,,,TRUE,,,PucciniasubsterilisEll. & Ev.,
